English,Arabic
city,مدينة
country,دولة
world,عالم
time,وقت
day,يوم
night,ليل
year,سنة
week,أسبوع
month,شهر
people,ناس
person,شخص
man,رجل
woman,امرأة
child,طفل
family,عائلة
friend,صديق
work,عمل
job,وظيفة
school,مدرسة
university,جامعة
teacher,معلم
student,طالب
book,كتاب
pen,قلم
table,طاولة
chair,كرسي
house,منزل
room,غرفة
door,باب
window,نافذة
car,سيارة
road,طريق
food,طعام
water,ماء
coffee,قهوة
tea,شاي
milk,حليب
bread,خبز
rice,أرز
meat,لحم
fruit,فاكهة
apple,تفاح
banana,موز
orange,برتقال
happy,سعيد
sad,حزين
big,كبير
small,صغير
fast,سريع
slow,بطيء
hot,حار
cold,بارد
new,جديد
old,قديم
good,جيد
bad,سيء
beautiful,جميل
easy,سهل
hard,صعب
open,مفتوح
close,مغلق
start,يبدأ
stop,يتوقف
go,يذهب
come,يأتي
see,يرى
look,ينظر
watch,يشاهد
hear,يسمع
listen,يستمع
speak,يتحدث
say,يقول
tell,يخبر
ask,يسأل
answer,يجيب
give,يعطي
take,يأخذ
make,يصنع
do,يفعل
play,يلعب
run,يجري
walk,يمشي
eat,يأكل
drink,يشرب
sleep,ينام
wake,يستيقظ
live,يعيش
love,يحب
like,يعجب
want,يريد
need,يحتاج
help,يساعد
feel,يشعر
think,يفكر
know,يعرف
believe,يؤمن
remember,يتذكر
moon,قمر
forget,ينسى
